1887,,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,cSCI
Rps4x,8.05E-10,-0.379570786,0.137,0.193,2.14E-05,0,0
Nabp1,5.91E-08,-0.37978704,0.137,0.185,0.001571223,0,0
Map7d1,7.71E-31,-0.379965462,0.658,0.763,2.05E-26,0,0
Ndufab1,7.91E-14,-0.380053246,0.298,0.385,2.10E-09,0,0
Ccdc134,3.31E-08,-0.380384483,0.106,0.15,0.000881076,0,-0.430022646
0610012G03Rik,1.06E-10,-0.380426852,0.188,0.253,2.82E-06,0,0
Cuedc2,4.48E-10,-0.38083073,0.211,0.276,1.19E-05,0,0
Atp5j2,2.65E-20,-0.381099467,0.415,0.526,7.03E-16,0,0
Lamtor2,1.69E-13,-0.381479518,0.16,0.234,4.48E-09,0,0
Vrk2,6.56E-10,-0.381480612,0.184,0.246,1.74E-05,0,0
Cadm4,1.87E-13,-0.381515875,0.316,0.403,4.96E-09,0,0
Inka2,5.10E-19,-0.381734437,0.391,0.498,1.36E-14,0,0
Snhg1,8.32E-09,-0.381784244,0.181,0.238,0.000221169,0,0
Zc3h8,2.50E-19,-0.382378472,0.41,0.52,6.64E-15,0,0
Rpl13,9.65E-19,-0.382392091,0.328,0.435,2.56E-14,0,0
Lgmn,1.75E-14,-0.383123555,0.272,0.359,4.65E-10,0,0
Grpel1,1.13E-10,-0.383439615,0.103,0.156,3.00E-06,0,0
Fbxw9,5.25E-07,-0.383908291,0.101,0.141,0.01395024,0,0
Pank4,1.21E-09,-0.384215958,0.167,0.225,3.23E-05,0,0
Vma21,1.64E-07,-0.38423126,0.107,0.149,0.00435351,0,0
Zfand1,1.13E-06,-0.384920945,0.118,0.158,0.030138931,0,0
Isoc2b,3.65E-07,-0.385019645,0.068,0.102,0.009700239,0,0
Dnajb11,2.26E-09,-0.385123057,0.172,0.229,6.02E-05,0,0
Cacybp,1.11E-11,-0.385176841,0.209,0.282,2.95E-07,0,0
Snhg4,2.59E-15,-0.385245244,0.242,0.331,6.88E-11,0,0
Tob2,2.49E-09,-0.385740151,0.14,0.194,6.61E-05,0,0
Napa,1.29E-19,-0.386369786,0.381,0.49,3.43E-15,0,0
Plscr3,1.40E-06,-0.386875799,0.052,0.08,0.03732613,0,0
Jmjd6,5.73E-07,-0.387699648,0.138,0.181,0.015236782,0,0
Ctsl,1.62E-09,-0.38775885,0.248,0.317,4.30E-05,0,0
Chpf,1.06E-07,-0.387851145,0.057,0.09,0.002826702,0.326731084,0
Snn,1.67E-06,-0.388031831,0.081,0.115,0.044428799,0,0
Cd47,2.53E-43,-0.388044327,0.744,0.848,6.72E-39,0,0
Hnrnpdl,1.41E-39,-0.388244043,0.736,0.827,3.74E-35,0,0
Ncald,2.62E-19,-0.388367119,0.423,0.533,6.97E-15,0,0
Nol6,7.80E-07,-0.388907533,0.125,0.167,0.02073095,0,0
Serf2,8.73E-16,-0.388961814,0.312,0.408,2.32E-11,0,0
Tigar,9.37E-16,-0.38898404,0.256,0.347,2.49E-11,0,0
Uqcrc1,1.02E-23,-0.38913003,0.579,0.688,2.71E-19,0,0
Lasp1,6.53E-16,-0.389304447,0.324,0.417,1.74E-11,-0.328976119,0
Fastk,2.83E-17,-0.38977856,0.313,0.415,7.53E-13,0,0
Pfdn6,2.59E-09,-0.389973099,0.115,0.165,6.89E-05,0,0
Cisd3,2.62E-09,-0.390130791,0.125,0.177,6.96E-05,0,0
Mlec,1.22E-07,-0.3905611,0.166,0.218,0.003251852,0,0
Nfe2l1,4.49E-11,-0.390938976,0.231,0.301,1.19E-06,0,0
Parm1,1.47E-29,-0.391105147,0.663,0.754,3.91E-25,0,0
Timm10b,1.13E-16,-0.391409614,0.251,0.345,3.01E-12,0,0
Tmem86b,4.16E-08,-0.391430378,0.154,0.205,0.001107208,0,0
Trp53inp2,1.12E-18,-0.391735326,0.192,0.287,2.96E-14,0,0
Ccng1,3.31E-10,-0.391938366,0.199,0.263,8.80E-06,0,-0.438724455
Ftl1,1.06E-07,-0.392469978,0.102,0.144,0.002828424,0,0
Tomm20,2.47E-12,-0.392556706,0.292,0.367,6.58E-08,0,0
Gpr150,2.40E-07,-0.392981855,0.051,0.081,0.006385603,0,0
Gdi1,2.42E-18,-0.39356718,0.419,0.521,6.45E-14,0,0
Polr2j,6.79E-07,-0.393620129,0.108,0.147,0.018044088,0,0
Ktn1,1.49E-92,-0.393706636,0.926,0.956,3.97E-88,0,0
Ndufv3,2.01E-14,-0.393821407,0.211,0.294,5.33E-10,0,0
Cluh,1.90E-16,-0.394098289,0.403,0.5,5.05E-12,0,-0.379101788
Celsr2,2.82E-12,-0.394105495,0.309,0.389,7.50E-08,0,0
Hmgn3,4.22E-23,-0.394136403,0.501,0.618,1.12E-18,0,0
Prkcsh,1.17E-14,-0.394139987,0.302,0.393,3.10E-10,0,0
Rxrb,3.03E-09,-0.394164165,0.151,0.206,8.06E-05,0,0
Bmpr1b,3.00E-11,-0.394466576,0.206,0.274,7.97E-07,0,0
Ctdnep1,1.05E-06,-0.395000757,0.108,0.147,0.028015826,0,0
Plk2,2.44E-21,-0.395007186,0.436,0.55,6.50E-17,-0.332750443,0
Cfap410,9.11E-10,-0.395383946,0.147,0.203,2.42E-05,0,0
Aen,4.56E-08,-0.395406807,0.08,0.119,0.001212412,0,-0.586626898
Mmgt2,4.02E-08,-0.395510908,0.04,0.069,0.001069131,0,0
Ipo4,4.63E-10,-0.395682279,0.25,0.317,1.23E-05,0,0
Tnfrsf25,2.30E-07,-0.395788385,0.119,0.162,0.006122045,-0.452542547,0
Cnppd1,2.81E-07,-0.395843279,0.116,0.158,0.007462662,0,0
Uqcrq,1.08E-18,-0.39587019,0.263,0.367,2.88E-14,0,0
Slc25a4,9.21E-23,-0.395972659,0.431,0.556,2.45E-18,0,0
Eef1a2,1.28E-19,-0.396221828,0.389,0.499,3.40E-15,0,0
Msmo1,1.46E-23,-0.396344349,0.371,0.495,3.88E-19,-0.598338834,0
Trim8,7.79E-07,-0.396510815,0.087,0.124,0.020700433,0,0
Ascl4,1.21E-08,-0.396596514,0.169,0.225,0.000322877,0.369727701,0.510832653
Commd6,8.09E-09,-0.396650171,0.082,0.124,0.000215018,-0.512366249,-0.577241861
Fn3krp,8.03E-07,-0.396937201,0.11,0.15,0.021348779,0,0
Fscn1,1.92E-16,-0.397218245,0.287,0.383,5.10E-12,0,0
Tmem74,1.37E-07,-0.398015779,0.102,0.144,0.003649874,0,0
Naxe,1.51E-13,-0.398597216,0.158,0.229,4.01E-09,0,0
Pde1a,5.62E-152,-0.398757046,0.999,1,1.49E-147,0,0
Dusp19,1.16E-11,-0.39932229,0.113,0.171,3.08E-07,0,0.429812562
Gabrd,5.29E-13,-0.399683454,0.173,0.244,1.41E-08,0,0
Ndrg2,6.34E-09,-0.399710794,0.173,0.228,0.000168479,0,0
Fbxo31,1.68E-12,-0.399770748,0.516,0.596,4.45E-08,0.361974986,0
Pnpo,2.50E-13,-0.399945922,0.143,0.212,6.65E-09,0,0
Cetn4,1.71E-09,-0.400153035,0.103,0.152,4.53E-05,0,0.616366789
Rpl11,4.75E-20,-0.400252619,0.296,0.404,1.26E-15,0,0
Rhot2,1.47E-12,-0.400326636,0.325,0.41,3.91E-08,0,0
Abca17,3.47E-20,-0.400583747,0.328,0.439,9.23E-16,0,0
2310061I04Rik,8.73E-10,-0.401769009,0.207,0.272,2.32E-05,0,0
Acaa1a,4.27E-13,-0.401954281,0.301,0.381,1.13E-08,0,0
Rpl35a,4.63E-14,-0.402039195,0.241,0.324,1.23E-09,0,0
P4hb,4.36E-08,-0.402227935,0.113,0.158,0.001158027,0,0
Nap1l2,1.60E-07,-0.402254053,0.103,0.145,0.004264327,0,0
Zfas1,5.12E-10,-0.402340616,0.2,0.263,1.36E-05,0,0
Scrib,4.19E-07,-0.402349502,0.158,0.204,0.01112866,0,0
Cope,4.15E-15,-0.402821075,0.31,0.404,1.10E-10,0,0
Snrpb2,1.42E-07,-0.403007261,0.128,0.174,0.003765671,0,0
Ccl27a,2.49E-10,-0.403041969,0.268,0.336,6.61E-06,0,0
Cemip2,8.61E-26,-0.403077922,0.537,0.651,2.29E-21,0,0
Rpl10a,6.81E-17,-0.403176258,0.234,0.328,1.81E-12,0,0
Disc1,4.51E-11,-0.403444222,0.174,0.24,1.20E-06,0,0
Dad1,1.18E-13,-0.403656901,0.238,0.32,3.13E-09,0,0
Pde4b,5.04E-101,-0.403956572,0.965,0.991,1.34E-96,0,0
C1qbp,4.59E-10,-0.404010054,0.109,0.16,1.22E-05,0,0
Cox8a,9.57E-30,-0.404020193,0.481,0.62,2.54E-25,0,0
Entr1,3.15E-17,-0.404034053,0.412,0.511,8.37E-13,0,0
Tagln3,9.66E-11,-0.404132106,0.194,0.262,2.57E-06,0,0
Frmd3,7.08E-23,-0.404515212,0.405,0.528,1.88E-18,-0.388918194,0
Srsf9,9.39E-11,-0.405041882,0.183,0.247,2.50E-06,0,0
Dhx37,8.93E-09,-0.405094536,0.122,0.171,0.000237523,0,0
Hdac9,4.97E-61,-0.405124927,0.888,0.947,1.32E-56,0,0
1-Sep,1.75E-11,-0.405325628,0.161,0.227,4.66E-07,0,0
Gps1,2.44E-11,-0.406123961,0.175,0.242,6.50E-07,0,0
Maz,1.51E-08,-0.406423201,0.168,0.222,0.000401029,0.339285558,0
Nsmce3,6.63E-09,-0.406629922,0.158,0.213,0.000176335,0,0
Ndufb5,2.39E-19,-0.40722395,0.288,0.395,6.36E-15,0,0
Rrbp1,3.31E-23,-0.407310701,0.334,0.45,8.80E-19,0,0
Rps26,2.25E-14,-0.407433251,0.243,0.33,5.98E-10,0,0
Lin37,6.55E-13,-0.407588498,0.137,0.204,1.74E-08,0,0
Tbc1d2,1.03E-17,-0.407622823,0.381,0.477,2.74E-13,0,0
Eif4a2,3.16E-16,-0.408113473,0.418,0.514,8.39E-12,0,0
Rpsa,5.75E-20,-0.408346856,0.212,0.313,1.53E-15,0,0
Cnih2,5.73E-10,-0.408525483,0.146,0.203,1.52E-05,0,0
Eif1,1.80E-22,-0.408593136,0.496,0.607,4.79E-18,0,0
Irf2bpl,1.41E-10,-0.408814116,0.09,0.14,3.75E-06,0,0
Prrc2a,1.94E-13,-0.409360144,0.266,0.352,5.17E-09,0,0
Arfrp1,3.57E-10,-0.409519726,0.183,0.246,9.50E-06,0,0
Aph1a,4.80E-10,-0.409721019,0.174,0.234,1.28E-05,0,0
Mypop,1.41E-07,-0.409759286,0.126,0.171,0.00375185,0,0
Scrn1,3.86E-27,-0.409762768,0.417,0.549,1.03E-22,0,0
Higd2a,9.42E-12,-0.410039416,0.162,0.228,2.51E-07,0,0
Emb,9.88E-18,-0.410549807,0.537,0.63,2.63E-13,-0.32086162,0
Arl8a,1.21E-14,-0.410569927,0.288,0.375,3.22E-10,0,0
Zbtb8os,9.62E-09,-0.410581633,0.133,0.184,0.000255864,0,0
Uqcrh,4.06E-24,-0.41080944,0.421,0.548,1.08E-19,0,0
Kcnh3,4.06E-21,-0.410914136,0.345,0.455,1.08E-16,0,0
Nrgn,9.34E-34,-0.411196781,0.707,0.79,2.48E-29,0,0
Jpt1,4.27E-20,-0.411349878,0.369,0.483,1.13E-15,0,0
Adgrd1,1.25E-19,-0.411384476,0.171,0.264,3.31E-15,-0.371574538,0
Nbdy,8.52E-07,-0.412525215,0.134,0.176,0.022639816,0,0
Qdpr,2.04E-07,-0.412584117,0.12,0.164,0.005424854,0,0
AU023762,9.50E-08,-0.412818419,0.123,0.168,0.002524807,0,0
Siva1,1.86E-06,-0.413589561,0.044,0.07,0.049579158,0,0
Jtb,2.73E-09,-0.413877071,0.112,0.16,7.25E-05,0,0
Nat9,5.47E-10,-0.414518157,0.12,0.174,1.45E-05,0,0
Pard6a,2.30E-11,-0.41454722,0.123,0.181,6.12E-07,0,0
Rpl37a,3.87E-18,-0.414549576,0.312,0.419,1.03E-13,0,0
CAAA01118383.1,6.80E-08,-0.414954342,0.108,0.151,0.001809019,0,-0.352662021
Ano8,1.49E-10,-0.415044154,0.16,0.222,3.95E-06,0,0
Araf,4.50E-16,-0.415107716,0.316,0.409,1.20E-11,0,0
Bex2,9.36E-17,-0.41518044,0.349,0.45,2.49E-12,0,0
Ltv1,2.60E-08,-0.415366855,0.107,0.152,0.00069081,0,0
Psmb6,3.76E-08,-0.415520058,0.108,0.153,0.00099954,0,0
Tspyl5,7.10E-10,-0.415690788,0.121,0.174,1.89E-05,0,0
Nrsn2,3.22E-08,-0.41598701,0.081,0.121,0.000855506,0,0
Htatip2,1.58E-07,-0.416236481,0.122,0.165,0.004210533,0,0
Ndufs5,4.41E-18,-0.416593347,0.294,0.394,1.17E-13,0,0
1700001G11Rik,1.43E-07,-0.41668258,0.05,0.081,0.003814824,0,-0.728440846
Gpn1,1.47E-09,-0.416982204,0.13,0.184,3.91E-05,0,0
Eif1b,3.79E-15,-0.417018605,0.25,0.336,1.01E-10,0,0
Ccdc32,1.04E-06,-0.417315374,0.09,0.126,0.027757578,0,0
Sh2b1,8.61E-09,-0.417395421,0.106,0.152,0.000228843,0,0
Pdlim7,1.14E-23,-0.417448687,0.435,0.554,3.03E-19,0,0
Gatd3a,2.13E-07,-0.417921622,0.081,0.118,0.005664222,0,0
Camk2n1,1.30E-15,-0.418097066,0.306,0.4,3.47E-11,0,0
Eif4a1,4.65E-15,-0.418828691,0.28,0.37,1.24E-10,-0.415835686,-0.342804285
Acd,1.52E-10,-0.420426325,0.13,0.188,4.04E-06,0,0
Plekhj1,1.34E-14,-0.421180966,0.205,0.287,3.56E-10,0,0
A330069K06Rik,2.59E-13,-0.421594438,0.171,0.243,6.89E-09,-0.341008304,0
Cep131,3.44E-14,-0.421683579,0.16,0.236,9.14E-10,0,0
Lgi1,3.81E-54,-0.422291454,0.779,0.86,1.01E-49,0,0
Qars,2.14E-07,-0.422540828,0.098,0.138,0.005682628,0,0
Rundc3a,2.44E-19,-0.42258821,0.425,0.531,6.49E-15,0,0
Fdps,6.12E-16,-0.422725936,0.146,0.222,1.63E-11,-0.575099954,0
Rfc2,1.28E-09,-0.422864359,0.188,0.248,3.40E-05,0,0
Cdkl5,1.33E-103,-0.42340533,0.924,0.959,3.53E-99,0,0
Mrps7,1.06E-14,-0.423500659,0.182,0.262,2.83E-10,0,0
Psme3,1.08E-06,-0.42362556,0.105,0.144,0.0288443,0,0
Ndufb7,3.04E-10,-0.423809268,0.126,0.182,8.09E-06,0,0
C030047K22Rik,4.37E-11,-0.424481312,0.158,0.218,1.16E-06,-0.361428288,-0.749679759
Mkks,9.25E-07,-0.424552285,0.042,0.069,0.024596156,0,0
Mpnd,4.66E-11,-0.424664275,0.196,0.264,1.24E-06,0,0
Pabpc4,1.97E-31,-0.424927299,0.627,0.747,5.24E-27,0.51349681,0.569857826
Romo1,2.58E-11,-0.425076779,0.085,0.135,6.86E-07,0,0
Fxn,3.02E-07,-0.425145127,0.064,0.098,0.008021909,0,0
Fbxw5,6.71E-12,-0.425154424,0.182,0.251,1.78E-07,0,0
Ints1,9.80E-13,-0.425321555,0.21,0.285,2.60E-08,0,0
Hecw2,4.98E-166,-0.425428163,0.986,0.993,1.32E-161,0,0
Dgkz,6.48E-78,-0.425495109,0.909,0.947,1.72E-73,0,0
Cdr2,1.08E-06,-0.425528873,0.064,0.095,0.028596146,0,0
Scn4b,4.97E-12,-0.426168971,0.163,0.229,1.32E-07,0,0
Mettl21a,2.46E-07,-0.426842269,0.09,0.127,0.006533591,0,0
Eid2,8.22E-08,-0.426902086,0.074,0.112,0.002184281,0,0
Cops9,9.80E-12,-0.427031761,0.114,0.172,2.61E-07,0,0
Pfkl,3.07E-13,-0.42714258,0.29,0.373,8.16E-09,0,0
Mettl23,1.64E-10,-0.427850541,0.15,0.21,4.37E-06,-0.500975291,0
Ldhb,5.45E-40,-0.428576355,0.628,0.75,1.45E-35,0,0
Eif3f,1.99E-07,-0.428890335,0.095,0.135,0.005285737,0.359988038,0.345736655
Wdhd1,1.32E-13,-0.429499532,0.191,0.268,3.52E-09,0,0
Commd4,2.43E-12,-0.429575148,0.17,0.239,6.46E-08,0,0
Zfp93,2.86E-07,-0.429726978,0.078,0.114,0.007616214,0.618168853,0
Dtd2,2.30E-07,-0.429731805,0.062,0.094,0.006111295,0,0
Ckmt1,1.17E-27,-0.430095373,0.528,0.646,3.10E-23,0,0
Slc25a19,5.07E-09,-0.430397208,0.191,0.25,0.000134858,0,0
Nkrf,7.50E-08,-0.43044059,0.09,0.13,0.001994211,0,0
Carmil2,1.16E-07,-0.431010942,0.083,0.121,0.003086224,0,0
Adam11,5.19E-25,-0.431158598,0.458,0.586,1.38E-20,0,0
Unc13a,5.08E-46,-0.431178605,0.707,0.821,1.35E-41,0,0
Tmem25,1.29E-17,-0.431332951,0.289,0.388,3.42E-13,0,0
Tmem59l,2.70E-17,-0.431503558,0.263,0.361,7.19E-13,0,0
Rpl32,1.92E-16,-0.431507234,0.163,0.245,5.10E-12,0,0
Ak1,1.20E-07,-0.431665234,0.087,0.126,0.003201069,0,0
Slc7a4,1.66E-07,-0.431874204,0.108,0.15,0.004410298,0,0
Gtpbp6,7.73E-12,-0.432418589,0.195,0.266,2.06E-07,0,0
Ulk1,3.50E-17,-0.432448525,0.347,0.45,9.32E-13,0,0
Srm,3.40E-09,-0.432630409,0.079,0.122,9.05E-05,0,0
Ppp6r1,1.29E-20,-0.433045399,0.333,0.445,3.44E-16,0,0
Inip,2.12E-10,-0.433092681,0.191,0.253,5.65E-06,0,0
Slitrk1,2.82E-22,-0.43319139,0.363,0.476,7.51E-18,0,0
4930432B10Rik,1.61E-09,-0.433427891,0.205,0.268,4.29E-05,0,0.679303883
Rab24,1.54E-20,-0.433521936,0.335,0.446,4.10E-16,0,0
Zbtb48,3.53E-08,-0.433630398,0.118,0.163,0.000939422,-0.370057971,0
Tmem222,1.14E-11,-0.433740538,0.156,0.22,3.03E-07,0,0
B230317F23Rik,1.27E-12,-0.433960606,0.127,0.189,3.38E-08,0,0
Tmem196,1.24E-18,-0.43447872,0.258,0.358,3.30E-14,0,0
Rab13,5.51E-15,-0.434877741,0.09,0.151,1.46E-10,0,0
Csnk1e,3.41E-16,-0.435170665,0.315,0.409,9.07E-12,0,0
Nip7,5.40E-11,-0.435385694,0.148,0.208,1.44E-06,0,0
Rnf144a,1.78E-16,-0.435586986,0.221,0.306,4.73E-12,0,0
Casp8ap2,5.70E-15,-0.435945921,0.213,0.295,1.52E-10,0,0
Sf3a2,1.88E-07,-0.43612086,0.056,0.088,0.004992079,0.405958154,0
Psmb5,1.10E-10,-0.436363572,0.122,0.178,2.93E-06,0,0
Arap2,1.93E-66,-0.436623794,0.851,0.914,5.14E-62,0,0
Pfdn5,1.51E-10,-0.436697721,0.143,0.202,4.02E-06,0,0
Tpi1,6.38E-24,-0.437348932,0.396,0.516,1.70E-19,0,0
Hint2,2.80E-10,-0.437976577,0.094,0.143,7.46E-06,0,0
Mrpl51,6.03E-08,-0.438169752,0.106,0.149,0.001604227,0,0
Armcx1,3.01E-17,-0.438292991,0.342,0.439,8.00E-13,0,0
Mrps16,1.50E-09,-0.438776744,0.109,0.159,4.00E-05,0,0
Akt2,6.33E-12,-0.438835416,0.272,0.347,1.68E-07,0,0
Prex2,1.60E-08,-0.439240601,0.221,0.281,0.000425598,0,0
Sppl2b,1.57E-18,-0.439307048,0.307,0.412,4.19E-14,0,0
Pianp,1.12E-12,-0.439352155,0.268,0.348,2.97E-08,0,0
Bend5,3.42E-16,-0.439486268,0.176,0.259,9.10E-12,0,-0.451882836
Pex16,9.08E-17,-0.441081537,0.186,0.274,2.41E-12,0,0
Tmeff1,2.54E-44,-0.441411606,0.718,0.814,6.75E-40,0,0
Chmp4b,4.01E-07,-0.441544747,0.383,0.444,0.010670611,0,0
Rpl38,2.01E-23,-0.441802507,0.344,0.461,5.34E-19,0,0
Smpd1,8.25E-08,-0.441842053,0.073,0.109,0.002192244,0,0
Sult4a1,6.69E-19,-0.442039333,0.389,0.496,1.78E-14,0,0
Oxsr1,1.14E-12,-0.442305143,0.2,0.272,3.02E-08,0,0
Arl2bp,2.47E-16,-0.442803084,0.241,0.331,6.56E-12,0,-0.393625267
Nudc,1.42E-15,-0.442981109,0.2,0.285,3.79E-11,0,0
Ugt8a,4.68E-18,-0.443735051,0.273,0.372,1.24E-13,0,0
Hint1,8.24E-23,-0.444092043,0.335,0.454,2.19E-18,0,0
Ehbp1l1,9.02E-07,-0.444505759,0.071,0.104,0.023968687,0,0
4930452B06Rik,5.91E-19,-0.445329961,0.312,0.416,1.57E-14,0,0
Higd1a,5.52E-18,-0.445487727,0.285,0.387,1.47E-13,0,0
Rps2,1.03E-18,-0.445629603,0.335,0.443,2.73E-14,0,0
Rnf187,2.78E-14,-0.445793229,0.233,0.317,7.39E-10,0,0
Arl4c,4.61E-11,-0.44587228,0.107,0.161,1.23E-06,0,0
Coa3,1.86E-09,-0.445912149,0.097,0.143,4.95E-05,0,0
Apbb1,1.93E-26,-0.445994107,0.406,0.537,5.13E-22,0,0
Dact3,1.99E-20,-0.446416137,0.287,0.395,5.29E-16,0,0
Ppp1r14b,7.78E-08,-0.446648255,0.097,0.139,0.002069442,0.374070117,0
Zfp808,3.73E-15,-0.446722029,0.163,0.24,9.92E-11,0,0
3110045C21Rik,2.67E-08,-0.446728064,0.047,0.079,0.000710167,0,0
Zcchc18,8.65E-29,-0.446788661,0.516,0.641,2.30E-24,0,0
Dusp15,6.79E-12,-0.447117814,0.206,0.277,1.81E-07,-0.391685714,0
Sema4a,1.48E-12,-0.447616868,0.191,0.262,3.93E-08,0,0
Asb1,9.36E-07,-0.448693273,0.073,0.105,0.024872569,0,0
Ndufb9,3.87E-28,-0.448833087,0.393,0.531,1.03E-23,0,0
Ovol2,7.20E-09,-0.449047976,0.198,0.255,0.000191418,0,0
Slc25a11,8.57E-09,-0.449461286,0.137,0.187,0.000227798,0,0
Bex3,5.73E-20,-0.449676366,0.301,0.409,1.52E-15,-0.529970925,0
Prdx5,5.10E-21,-0.44989331,0.272,0.382,1.36E-16,0,0
Abhd17a,2.08E-13,-0.450095679,0.222,0.299,5.53E-09,-0.323289719,0
Rps3,4.95E-11,-0.450121071,0.145,0.207,1.31E-06,0,0
Mat2b,5.08E-17,-0.450252466,0.26,0.354,1.35E-12,0,0
Rbak,5.16E-09,-0.450487104,0.12,0.168,0.000137233,0,0
Mknk2,1.08E-07,-0.450605189,0.114,0.158,0.002869708,0,0
Mycbpap,8.04E-10,-0.450727207,0.064,0.104,2.14E-05,0.324000254,0
Zbed5,5.00E-14,-0.451473277,0.128,0.196,1.33E-09,0,0
Tmem151a,2.30E-15,-0.451646516,0.261,0.349,6.12E-11,0,0
Sema6b,1.05E-12,-0.452148932,0.186,0.257,2.79E-08,0.357420607,0
Mrpl43,8.06E-16,-0.452672843,0.145,0.221,2.14E-11,0,0
Rps10,1.13E-16,-0.452971126,0.232,0.323,3.02E-12,0,0
Rpl34,1.44E-16,-0.453036293,0.178,0.264,3.83E-12,0,0
Selenok,8.37E-25,-0.453251123,0.316,0.439,2.23E-20,0,0
Trmt10a,7.98E-12,-0.453358197,0.119,0.177,2.12E-07,0,0
2810029C07Rik,1.33E-09,-0.454179513,0.128,0.181,3.54E-05,0,0
Anxa5,1.46E-10,-0.454232318,0.127,0.181,3.87E-06,-0.366154149,-0.580791271
Cox14,2.43E-13,-0.454241929,0.151,0.219,6.47E-09,0,0
Snx15,7.05E-14,-0.454260551,0.179,0.253,1.87E-09,0,0
Lsamp,1.19E-29,-0.454401483,0.628,0.764,3.16E-25,0,0
Rpl22l1,1.97E-17,-0.454615499,0.225,0.318,5.24E-13,0,0
Tbrg4,7.24E-09,-0.454734446,0.107,0.153,0.000192525,0,0
Rpl4,4.82E-10,-0.454990487,0.148,0.205,1.28E-05,0,0
Hs3st1,7.83E-09,-0.455203929,0.1,0.146,0.000208224,0,0
Rad23a,8.32E-12,-0.455219051,0.146,0.208,2.21E-07,0,0
Zfp27,5.51E-16,-0.455491846,0.221,0.306,1.46E-11,0,0
Diras1,1.85E-06,-0.456032472,0.035,0.059,0.049231255,0,0
Slc4a9,1.50E-06,-0.456284808,0.102,0.14,0.039792591,0.710502973,1.413832085
Lrrc75a,3.60E-12,-0.456315677,0.127,0.188,9.56E-08,0,0
Clec2l,1.51E-14,-0.4563681,0.142,0.213,4.01E-10,0,0
Chchd1,3.56E-13,-0.457113533,0.11,0.171,9.47E-09,0,0
Rps24,7.46E-19,-0.457227539,0.294,0.397,1.98E-14,-0.372482038,0
2300009A05Rik,1.52E-17,-0.457449781,0.183,0.272,4.04E-13,0,0
Prrg2,5.90E-08,-0.457604697,0.053,0.085,0.001568606,0,0
Stx4a,9.84E-19,-0.458120134,0.219,0.316,2.61E-14,0,0
Rps16,3.12E-16,-0.458208204,0.178,0.262,8.30E-12,0,0
Ephb6,9.09E-16,-0.458476663,0.209,0.294,2.42E-11,0,0
Dnajb5,7.89E-15,-0.458630101,0.197,0.278,2.10E-10,0,0
Reln,1.06E-10,-0.458696395,0.1,0.151,2.82E-06,0,0
Tjap1,3.11E-22,-0.458724786,0.363,0.479,8.27E-18,0,0
Emc9,9.99E-15,-0.458795167,0.201,0.279,2.66E-10,0,0
Eef1d,7.30E-15,-0.459339889,0.209,0.292,1.94E-10,0,0
Alkbh2,2.66E-21,-0.459862122,0.196,0.296,7.08E-17,0,0
Cst3,3.00E-22,-0.459929982,0.241,0.352,7.98E-18,0,0
Psmd8,7.54E-12,-0.460030387,0.141,0.203,2.01E-07,0,0
Fzr1,6.18E-10,-0.46042706,0.153,0.211,1.64E-05,0.488315972,0
Hipk3,1.14E-30,-0.460460159,0.513,0.635,3.02E-26,0,0
Rplp2,3.32E-14,-0.460762676,0.214,0.295,8.82E-10,0,0
Ctsd,1.70E-10,-0.461647141,0.152,0.211,4.53E-06,0,0
Psd,2.91E-23,-0.46238364,0.396,0.511,7.73E-19,0,0
Rnf112,8.42E-54,-0.46285598,0.791,0.875,2.24E-49,0,0
Camk2n2,4.96E-08,-0.46298393,0.061,0.096,0.001319414,0.6258375,2.165490172
Psmg1,8.50E-09,-0.463304517,0.099,0.143,0.000225954,0,0
P3h3,6.97E-11,-0.463343312,0.229,0.298,1.85E-06,0,0
Cox7b,1.35E-44,-0.463589669,0.658,0.782,3.59E-40,0,0
Ppm1k,9.57E-17,-0.464028613,0.328,0.418,2.54E-12,0,0
Zfp973,1.33E-13,-0.464162424,0.19,0.265,3.54E-09,0,0
Grm3,4.75E-72,-0.464249005,0.826,0.91,1.26E-67,0,0
Uchl1,3.29E-38,-0.465156788,0.601,0.731,8.74E-34,0,0
Cacnb3,1.33E-10,-0.46593588,0.188,0.253,3.54E-06,0,0
Tpt1,1.38E-16,-0.466133445,0.199,0.286,3.68E-12,0,0
Dmpk,1.81E-07,-0.466412454,0.087,0.125,0.004812246,0,0
Triap1,1.18E-06,-0.466460387,0.069,0.101,0.031342791,0,0
Ndufv1,3.51E-20,-0.466720191,0.246,0.349,9.34E-16,0,0
Cops6,1.46E-10,-0.46689193,0.134,0.192,3.87E-06,0,0
Zfp60,6.86E-08,-0.467124875,0.284,0.342,0.001823305,0,0
Nenf,6.72E-09,-0.4672507,0.113,0.161,0.000178687,0,0
Men1,1.63E-08,-0.467282042,0.089,0.131,0.000434406,-0.497107026,0
Abracl,3.75E-11,-0.468471604,0.14,0.199,9.96E-07,0,-0.652145516
Gcnt4,2.29E-17,-0.469287777,0.255,0.347,6.08E-13,0,0
Atp5j,2.36E-23,-0.469307643,0.308,0.426,6.28E-19,0,0
Kcnh6,5.78E-09,-0.469661649,0.056,0.092,0.000153598,0.373534561,0
Gtf3c4,1.58E-08,-0.469877505,0.112,0.158,0.000419733,0,0
